Soort,Gebied,Jaar,Aantal,TypeGebied,Doel
Blauwborst,Beneden Nete,2005,0,Sigma,550
Blauwborst,Beneden Nete,2006,0,Sigma,550
Blauwborst,Beneden Nete,2007,0,Sigma,550
Blauwborst,Beneden Nete,2008,0,Sigma,550
Blauwborst,Beneden Nete,2009,0,Sigma,550
Blauwborst,Beneden Nete,2010,0,Sigma,550
Blauwborst,Beneden Nete,2011,0,Sigma,550
Blauwborst,Beneden Nete,2012,0,Sigma,550
Blauwborst,Beneden Nete,2013,0,Sigma,550
Blauwborst,Beneden Nete,2014,0,Sigma,550
Blauwborst,Beneden Nete,2015,0,Sigma,550
Blauwborst,Beneden Nete,2016,0,Sigma,550
Blauwborst,Beneden Nete,2017,0,Sigma,550
Blauwborst,Beneden Nete,2018,0,Sigma,550
Blauwborst,Beneden Nete,2019,0,Sigma,550
Blauwborst,Beneden Nete,2020,0,Sigma,550
Blauwborst,Beneden Nete,2021,0,Sigma,550
Blauwborst,Beneden Nete,2022,10,Sigma,550
Blauwborst,Beneden Nete,2023,12,Sigma,550
Blauwborst,Bergenmeersen,2005,1,Sigma,550
Blauwborst,Bergenmeersen,2006,1,Sigma,550
Blauwborst,Bergenmeersen,2007,1,Sigma,550
Blauwborst,Bergenmeersen,2008,1,Sigma,550
Blauwborst,Bergenmeersen,2009,1,Sigma,550
Blauwborst,Bergenmeersen,2010,1,Sigma,550
Blauwborst,Bergenmeersen,2011,1,Sigma,550
Blauwborst,Bergenmeersen,2012,1,Sigma,550
Blauwborst,Bergenmeersen,2013,1,Sigma,550
Blauwborst,Bergenmeersen,2014,2,Sigma,550
Blauwborst,Bergenmeersen,2015,6,Sigma,550
Blauwborst,Bergenmeersen,2016,9,Sigma,550
Blauwborst,Bergenmeersen,2017,11,Sigma,550
Blauwborst,Bergenmeersen,2018,12,Sigma,550
Blauwborst,Bergenmeersen,2019,16,Sigma,550
Blauwborst,Bergenmeersen,2020,19,Sigma,550
Blauwborst,Bergenmeersen,2021,14,Sigma,550
Blauwborst,Bergenmeersen,2022,9,Sigma,550
Blauwborst,Bergenmeersen,2023,9,Sigma,550
Blauwborst,Blokkersdijk,2005,10,BD,550
Blauwborst,Blokkersdijk,2006,10,BD,550
Blauwborst,Blokkersdijk,2007,9,BD,550
